SampleName,Location,ColonyID,#mapped,#unmapped,%mapped,denom,depth
AHB125_S36_allchrs_DoC.sample_summary:AHB125_S36,Bikini,,168859205,137778384,55.0680057,,37.62
AHB126-1_S37_allchrs_DoC.sample_summary:AHB126-1_S37,Bikini,,131934258,102886956,56.1849825,,29.74
AHB126-2_S61_allchrs_DoC.sample_summary:AHB126-2_S61,Bikini,,165167195,149683677,52.45886535,,33.86
AHB127_S38_allchrs_DoC.sample_summary:AHB127_S38,Bikini,,127606416,105800316,54.67126629,,28.33
AHB128-1_S39_allchrs_DoC.sample_summary:AHB128-1_S39,Bikini,,131483212,114584981,53.43364796,,28.8
AHB128-2_S62_allchrs_DoC.sample_summary:AHB128-2_S62,Bikini,,124808587,116660501,51.68719029,,26.25
AHB129_S40_allchrs_DoC.sample_summary:AHB129_S40,Bikini,,159145407,134521700,54.19245234,,35.47
AHB145_S15_allchrs_DoC.sample_summary:AHB145_S15,Bikini,,176325592,128539876,57.83718082,,39.75
AHB146-1_S16_allchrs_DoC.sample_summary:AHB146-1_S16,Bikini,,126026578,93488797,57.41127609,,28.81
AHB146-2_S71_allchrs_DoC.sample_summary:AHB146-2_S71,Bikini,,271189762,240532114,52.99553815,,58.49
AHB147_S17_allchrs_DoC.sample_summary:AHB147_S17,Bikini,,167823554,139148792,54.67057739,,36.74
AHB148-1_S18_allchrs_DoC.sample_summary:AHB148-1_S18,Bikini,,137519029,95869360,58.92282371,,31.37
AHB148-2_S72_allchrs_DoC.sample_summary:AHB148-2_S72,Bikini,,136658086,113045036,54.72822482,,30.31
AHB149_S19_allchrs_DoC.sample_summary:AHB149_S19,Bikini,,122028981,85736588,58.73397675,,28.27
AHB151_S41_allchrs_DoC.sample_summary:AHB151_S41,Bikini,,163155944,131255973,55.41757469,,34.77
AHB152-1_S42_allchrs_DoC.sample_summary:AHB152-1_S42,Bikini,,176613096,140172906,55.75154675,,38.01
AHB152-2_S63_allchrs_DoC.sample_summary:AHB152-2_S63,Bikini,,204765623,165207481,55.34608348,,42.46
AHB153_S43_allchrs_DoC.sample_summary:AHB153_S43,Bikini,,140104568,106251141,56.8708428,,30.75
AHB154-1_S44_allchrs_DoC.sample_summary:AHB154-1_S44,Bikini,,161095253,128017306,55.72060016,,35.6
AHB154-2_S64_allchrs_DoC.sample_summary:AHB154-2_S64,Bikini,,163450455,126524841,56.36702756,,35.79
AHB155_S45_allchrs_DoC.sample_summary:AHB155_S45,Bikini,,170729981,148562930,53.47127203,,35.69
AHB176_S54_allchrs_DoC.sample_summary:AHB176_S54,Bikini,,87102617,139513703,38.4361625,,15.38
AHB177-1_S5_allchrs_DoC.sample_summary:AHB177-1_S5,Bikini,,161865088,127457829,55.94616897,,35.48
AHB177-2_S65_allchrs_DoC.sample_summary:AHB177-2_S65,Bikini,,146814515,119236371,55.18287017,,31.54
AHB178_S6_allchrs_DoC.sample_summary:AHB178_S6,Bikini,,47655590,209513272,18.53085542,,9.08
AHB179-1_S7_allchrs_DoC.sample_summary:AHB179-1_S7,Bikini,,153171233,141124584,52.04669049,,33.38
AHB179-2_S66_allchrs_DoC.sample_summary:AHB179-2_S66,Bikini,,166832020,159190455,51.17193838,,35.4
AHB180_S8_allchrs_DoC.sample_summary:AHB180_S8,Bikini,,179319829,141413840,55.90926252,,39.98
AHB195_S2_allchrs_DoC.sample_summary:AHB195_S2,Bikini,,150632589,111929502,57.37027323,,33.27
AHB196-1_S3_allchrs_DoC.sample_summary:AHB196-1_S3,Bikini,,143577267,93231728,60.62998874,,8.55
AHB196-2_S79_allchrs_DoC.sample_summary:AHB196-2_S79,Bikini,,165153348,109744174,60.07815087,,8.83
AHB197_S4_allchrs_DoC.sample_summary:AHB197_S4,Bikini,,126731244,97763776,56.45169501,,28.81
AHB198-1_S22_allchrs_DoC.sample_summary:AHB198-1_S22,Bikini,,134705916,127910806,51.2937314,,29.69
AHB198-2_S80_allchrs_DoC.sample_summary:AHB198-2_S80,Bikini,,174420184,178801202,49.37984814,,37.53
AHB199_S35_allchrs_DoC.sample_summary:AHB199_S35,Bikini,,147984938,118236569,55.58714608,,32.99
AHB70_S20_allchrs_DoC.sample_summary:AHB70_S20,Bikini,,133062262,130045115,50.573368,,27.56
AHB71-1_S56_allchrs_DoC.sample_summary:AHB71-1_S56,Bikini,,132757290,109845611,54.7220538,,28.34
