filename	samplename	colony_ID
AHAS41_S49_R1.fastq.gz	AHAS41	AH09
AHAS41_S49_R2.fastq.gz	AHAS41	AH09
AHAS42-1_S50_R1.fastq.gz	AHAS42-1	AH09
AHAS42-1_S50_R2.fastq.gz	AHAS42-1	AH09
AHAS42-2_S73_R1.fastq.gz	AHAS42-2	AH09
AHAS42-2_S73_R2.fastq.gz	AHAS42-2	AH09
AHAS43_S25_R1.fastq.gz	AHAS43	AH09
AHAS43_S25_R2.fastq.gz	AHAS43	AH09
AHAS44-1_S26_R1.fastq.gz	AHAS44-1	AH09
AHAS44-1_S26_R2.fastq.gz	AHAS44-1	AH09
AHAS44-2_S74_R1.fastq.gz	AHAS44-2	AH09
AHAS44-2_S74_R2.fastq.gz	AHAS44-2	AH09
AHAS45_S21_R1.fastq.gz	AHAS45	AH09
AHAS45_S21_R2.fastq.gz	AHAS45	AH09
AHAS46_S27_R1.fastq.gz	AHAS46	AH261
AHAS46_S27_R2.fastq.gz	AHAS46	AH261
AHAS47-1_S51_R1.fastq.gz	AHAS47-1	AH261
AHAS47-1_S51_R2.fastq.gz	AHAS47-1	AH261
AHAS47-2_S75_R1.fastq.gz	AHAS47-2	AH261
AHAS47-2_S75_R2.fastq.gz	AHAS47-2	AH261
AHAS48_S52_R1.fastq.gz	AHAS48	AH261
AHAS48_S52_R2.fastq.gz	AHAS48	AH261
AHAS49-1_S1_R1.fastq.gz	AHAS49-1	AH261
AHAS49-1_S1_R2.fastq.gz	AHAS49-1	AH261
AHAS49-2_S76_R1.fastq.gz	AHAS49-2	AH261
AHAS49-2_S76_R2.fastq.gz	AHAS49-2	AH261
AHAS50_S28_R1.fastq.gz	AHAS50	AH261
AHAS50_S28_R2.fastq.gz	AHAS50	AH261
AHAS51_S29_R1.fastq.gz	AHAS51	newcolony
AHAS51_S29_R2.fastq.gz	AHAS51	newcolony
AHAS52-1_S30_R1.fastq.gz	AHAS52-1	newcolony
AHAS52-1_S30_R2.fastq.gz	AHAS52-1	newcolony
AHAS52-2_S69_R1.fastq.gz	AHAS52-2	newcolony
AHAS52-2_S69_R2.fastq.gz	AHAS52-2	newcolony
AHAS53_S31_R1.fastq.gz	AHAS53	newcolony
AHAS53_S31_R2.fastq.gz	AHAS53	newcolony
AHAS54-1_S46_R1.fastq.gz	AHAS54-1	newcolony
AHAS54-1_S46_R2.fastq.gz	AHAS54-1	newcolony
AHAS54-2_S70_R1.fastq.gz	AHAS54-2	newcolony
AHAS54-2_S70_R2.fastq.gz	AHAS54-2	newcolony
AHAS55_S47_R1.fastq.gz	AHAS55	newcolony
AHAS55_S47_R2.fastq.gz	AHAS55	newcolony
AHAS56_S32_R1.fastq.gz	AHAS56	AH130
AHAS56_S32_R2.fastq.gz	AHAS56	AH130
AHAS57-1_S53_R1.fastq.gz	AHAS57-1	AH130
AHAS57-1_S53_R2.fastq.gz	AHAS57-1	AH130
AHAS57-2_S77_R1.fastq.gz	AHAS57-2	AH130
AHAS57-2_S77_R2.fastq.gz	AHAS57-2	AH130
AHAS58_S33_R1.fastq.gz	AHAS58	AH130
AHAS58_S33_R2.fastq.gz	AHAS58	AH130
AHAS59-1_S23_R1.fastq.gz	AHAS59-1	AH130
AHAS59-1_S23_R2.fastq.gz	AHAS59-1	AH130
AHAS59-2_S78_R1.fastq.gz	AHAS59-2	AH130
AHAS59-2_S78_R2.fastq.gz	AHAS59-2	AH130
AHAS60_S34_R1.fastq.gz	AHAS60	AH130
AHAS60_S34_R2.fastq.gz	AHAS60	AH130
AHAS61_S48_R1.fastq.gz	AHAS61	AH131
AHAS61_S48_R2.fastq.gz	AHAS61	AH131
AHAS62-1_S58_R1.fastq.gz	AHAS62-1	AH131
AHAS62-1_S58_R2.fastq.gz	AHAS62-1	AH131
AHAS62-2_S83_R1.fastq.gz	AHAS62-2	AH131
AHAS62-2_S83_R2.fastq.gz	AHAS62-2	AH131
AHAS63_S59_R1.fastq.gz	AHAS63	AH131
AHAS63_S59_R2.fastq.gz	AHAS63	AH131
AHAS64-1_S60_R1.fastq.gz	AHAS64-1	AH131
AHAS64-1_S60_R2.fastq.gz	AHAS64-1	AH131
AHAS64-2_S84_R1.fastq.gz	AHAS64-2	AH131
AHAS64-2_S84_R2.fastq.gz	AHAS64-2	AH131
AHAS65_S14_R1.fastq.gz	AHAS65	AH131
AHAS65_S14_R2.fastq.gz	AHAS65	AH131
